Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
5aea0a6c-a80d-5433-9be4-4d98195dce8c,,ISO3166-1-238,País ISO 3166-1 238 - ISLAS MALVINAS,País ISO 3166-1 238 - ISLAS MALVINAS,ISLAS MALVINAS,Código numérico 238 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
7c3189b7-e2e1-52b3-8fa7-24bae8f25a25,,ISO3166-1-239,País ISO 3166-1 239 - GEORGIA DEL SUR E ISLAS SANDWICH DEL SUR,País ISO 3166-1 239 - GEORGIA DEL SUR E ISLAS SANDWICH DEL SUR,GEORGIA DEL SUR E ISLAS SANDWICH DEL SUR,Código numérico 239 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c188fa6a-b369-51f8-b0b6-113b38a49839,,ISO3166-1-242,País ISO 3166-1 242 - FIJI,País ISO 3166-1 242 - FIJI,FIJI,Código numérico 242 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
7c78a644-6dc0-5d3f-a093-bddbb6857846,,ISO3166-1-246,País ISO 3166-1 246 - FINLANDIA,País ISO 3166-1 246 - FINLANDIA,FINLANDIA,Código numérico 246 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
eb57ead6-0303-5108-a0c6-f7fe6e0387e5,,ISO3166-1-248,País ISO 3166-1 248 - ISLAS ÁLAND,País ISO 3166-1 248 - ISLAS ÁLAND,ISLAS ÁLAND,Código numérico 248 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
93a89a14-7b15-5239-bd6a-e242e5752aef,,ISO3166-1-250,País ISO 3166-1 250 - FRANCIA,País ISO 3166-1 250 - FRANCIA,FRANCIA,Código numérico 250 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
e3021d6b-5996-57b9-8ccf-39524bf12bcb,,ISO3166-1-254,País ISO 3166-1 254 - GUAYANA FRANCESA,País ISO 3166-1 254 - GUAYANA FRANCESA,GUAYANA FRANCESA,Código numérico 254 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
6a2884fd-c5fa-50c0-b219-ef2b696bb2e2,,ISO3166-1-258,País ISO 3166-1 258 - POLINESIA FRANCESA,País ISO 3166-1 258 - POLINESIA FRANCESA,POLINESIA FRANCESA,Código numérico 258 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
b9d61f9a-4192-5f46-bcc7-9c9cdc105c07,,ISO3166-1-260,País ISO 3166-1 260 - TERRITORIOS AUSTRALES FRANCESES,País ISO 3166-1 260 - TERRITORIOS AUSTRALES FRANCESES,TERRITORIOS AUSTRALES FRANCESES,Código numérico 260 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
1b723e3e-bbda-5d74-bdc5-e26139b01e1e,,ISO3166-1-262,País ISO 3166-1 262 - YIBUTI,País ISO 3166-1 262 - YIBUTI,YIBUTI,Código numérico 262 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
8418e611-1258-5f2e-8e60-880c8e457080,,ISO3166-1-266,País ISO 3166-1 266 - GABÓN,País ISO 3166-1 266 - GABÓN,GABÓN,Código numérico 266 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
6e6b8b22-407e-5b0e-a3ed-e3195e70ccff,,ISO3166-1-268,País ISO 3166-1 268 - GEORGIA,País ISO 3166-1 268 - GEORGIA,GEORGIA,Código numérico 268 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
584849ed-4df4-5dc6-88d0-a315981d3c25,,ISO3166-1-270,País ISO 3166-1 270 - GAMBIA,País ISO 3166-1 270 - GAMBIA,GAMBIA,Código numérico 270 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c7d8842c-8b42-5435-8bfd-a054b1a9459b,,ISO3166-1-275,País ISO 3166-1 275 - PALESTINA,País ISO 3166-1 275 - PALESTINA,PALESTINA,Código numérico 275 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
595c2d63-57c3-58c7-b306-9784d4733087,,ISO3166-1-276,País ISO 3166-1 276 - ALEMANIA,País ISO 3166-1 276 - ALEMANIA,ALEMANIA,Código numérico 276 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
7e794124-3ae3-5a27-843a-07bfb61f7b5c,,ISO3166-1-288,País ISO 3166-1 288 - GHANA,País ISO 3166-1 288 - GHANA,GHANA,Código numérico 288 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
b0fcd6eb-ed9b-583a-b86a-b666c907a199,,ISO3166-1-292,País ISO 3166-1 292 - GIBRALTAR,País ISO 3166-1 292 - GIBRALTAR,GIBRALTAR,Código numérico 292 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
fe8ffe8c-3777-5b28-9366-bded6742e809,,ISO3166-1-296,País ISO 3166-1 296 - KIRIBATI,País ISO 3166-1 296 - KIRIBATI,KIRIBATI,Código numérico 296 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
c9a54284-73e2-59d2-95f6-5b7012141038,,ISO3166-1-300,País ISO 3166-1 300 - GRECIA,País ISO 3166-1 300 - GRECIA,GRECIA,Código numérico 300 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
57b7a1f3-d2f2-5d5f-91a3-e999f490113d,,ISO3166-1-304,País ISO 3166-1 304 - GROENLANDIA,País ISO 3166-1 304 - GROENLANDIA,GROENLANDIA,Código numérico 304 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
187c7f68-1886-546f-8111-1bb4755146cc,,ISO3166-1-308,País ISO 3166-1 308 - GRANADA,País ISO 3166-1 308 - GRANADA,GRANADA,Código numérico 308 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a1c90763-fb06-5696-9742-40c701403fd4,,ISO3166-1-312,País ISO 3166-1 312 - GUADALUPE,País ISO 3166-1 312 - GUADALUPE,GUADALUPE,Código numérico 312 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
